Design,fitness_value,sorted_fitness
"[[1, 1, 2, 2, 3, 1, 3], [2, 3, 4, 2, 1, 1, 3], [3, 1, 3, 5, 3, 5, 4], [4, 1, 4, 4, 4, 5, 5], [5, 2, 3, 2, 1, 3, 1], [6, 2, 4, 3, 1, 1, 1]]",11.400000000000006,9.200000000000003
"[[1, 1, 2, 2, 3, 3, 2], [2, 3, 4, 2, 1, 5, 1], [3, 1, 3, 5, 3, 5, 5], [4, 1, 4, 4, 4, 1, 3], [5, 2, 3, 2, 1, 3, 3], [6, 2, 4, 3, 1, 3, 1]]",13.0,9.200000000000003
"[[1, 1, 2, 2, 3, 2, 3], [2, 3, 4, 2, 1, 2, 4], [3, 1, 3, 5, 3, 2, 1], [4, 1, 4, 4, 4, 3, 3], [5, 2, 3, 2, 1, 1, 2], [6, 2, 4, 3, 1, 3, 3]]",9.199999999999996,9.200000000000003
"[[1, 1, 2, 2, 3, 5, 4], [2, 3, 4, 2, 1, 5, 5], [3, 1, 3, 5, 3, 2, 5], [4, 1, 4, 4, 4, 4, 2], [5, 2, 3, 2, 1, 2, 1], [6, 2, 4, 3, 1, 1, 2]]",14.0,9.399999999999999
"[[1, 1, 2, 2, 3, 3, 4], [2, 3, 4, 2, 1, 1, 3], [3, 1, 3, 5, 3, 1, 4], [4, 1, 4, 4, 4, 3, 1], [5, 2, 3, 2, 1, 1, 4], [6, 2, 4, 3, 1, 4, 4]]",10.799999999999997,9.399999999999999
"[[1, 1, 2, 2, 3, 3, 5], [2, 3, 4, 2, 1, 3, 3], [3, 1, 3, 5, 3, 1, 3], [4, 1, 4, 4, 4, 1, 5], [5, 2, 3, 2, 1, 2, 5], [6, 2, 4, 3, 1, 1, 1]]",10.400000000000006,9.399999999999999
"[[1, 1, 2, 2, 3, 1, 4], [2, 3, 4, 2, 1, 5, 5], [3, 1, 3, 5, 3, 4, 2], [4, 1, 4, 4, 4, 4, 3], [5, 2, 3, 2, 1, 1, 3], [6, 2, 4, 3, 1, 1, 4]]",13.0,9.399999999999999
"[[1, 1, 2, 2, 3, 2, 2], [2, 3, 4, 2, 1, 2, 2], [3, 1, 3, 5, 3, 5, 2], [4, 1, 4, 4, 4, 4, 3], [5, 2, 3, 2, 1, 3, 5], [6, 2, 4, 3, 1, 4, 1]]",13.0,9.399999999999999
"[[1, 1, 2, 2, 3, 1, 3], [2, 3, 4, 2, 1, 5, 4], [3, 1, 3, 5, 3, 2, 2], [4, 1, 4, 4, 4, 1, 3], [5, 2, 3, 2, 1, 1, 3], [6, 2, 4, 3, 1, 3, 4]]",10.399999999999999,9.399999999999999
"[[1, 1, 2, 2, 3, 4, 5], [2, 3, 4, 2, 1, 2, 4], [3, 1, 3, 5, 3, 3, 3], [4, 1, 4, 4, 4, 1, 1], [5, 2, 3, 2, 1, 2, 3], [6, 2, 4, 3, 1, 1, 4]]",10.799999999999997,9.399999999999999
"[[1, 1, 2, 2, 3, 1, 2], [2, 3, 4, 2, 1, 4, 1], [3, 1, 3, 5, 3, 5, 5], [4, 1, 4, 4, 4, 4, 3], [5, 2, 3, 2, 1, 2, 3], [6, 2, 4, 3, 1, 5, 4]]",14.800000000000004,9.399999999999999
"[[1, 1, 2, 2, 3, 4, 5], [2, 3, 4, 2, 1, 5, 3], [3, 1, 3, 5, 3, 2, 2], [4, 1, 4, 4, 4, 2, 5], [5, 2, 3, 2, 1, 5, 5], [6, 2, 4, 3, 1, 3, 5]]",17.6,9.399999999999999
"[[1, 1, 2, 2, 3, 4, 1], [2, 3, 4, 2, 1, 2, 3], [3, 1, 3, 5, 3, 4, 2], [4, 1, 4, 4, 4, 3, 1], [5, 2, 3, 2, 1, 3, 5], [6, 2, 4, 3, 1, 3, 3]]",12.399999999999999,9.400000000000006
"[[1, 1, 2, 2, 3, 3, 1], [2, 3, 4, 2, 1, 2, 3], [3, 1, 3, 5, 3, 2, 4], [4, 1, 4, 4, 4, 5, 4], [5, 2, 3, 2, 1, 3, 1], [6, 2, 4, 3, 1, 2, 5]]",12.400000000000006,9.400000000000006
"[[1, 1, 2, 2, 3, 1, 4], [2, 3, 4, 2, 1, 3, 5], [3, 1, 3, 5, 3, 4, 1], [4, 1, 4, 4, 4, 2, 5], [5, 2, 3, 2, 1, 1, 3], [6, 2, 4, 3, 1, 1, 4]]",11.0,9.400000000000006
"[[1, 1, 2, 2, 3, 2, 1], [2, 3, 4, 2, 1, 4, 3], [3, 1, 3, 5, 3, 3, 4], [4, 1, 4, 4, 4, 4, 4], [5, 2, 3, 2, 1, 4, 5], [6, 2, 4, 3, 1, 1, 4]]",14.199999999999996,9.400000000000006
"[[1, 1, 2, 2, 3, 2, 5], [2, 3, 4, 2, 1, 2, 5], [3, 1, 3, 5, 3, 2, 3], [4, 1, 4, 4, 4, 4, 2], [5, 2, 3, 2, 1, 4, 2], [6, 2, 4, 3, 1, 1, 3]]",12.0,9.400000000000006
"[[1, 1, 2, 2, 3, 3, 5], [2, 3, 4, 2, 1, 3, 1], [3, 1, 3, 5, 3, 5, 3], [4, 1, 4, 4, 4, 3, 2], [5, 2, 3, 2, 1, 2, 2], [6, 2, 4, 3, 1, 3, 5]]",13.600000000000001,9.400000000000006
"[[1, 1, 2, 2, 3, 3, 3], [2, 3, 4, 2, 1, 5, 2], [3, 1, 3, 5, 3, 5, 2], [4, 1, 4, 4, 4, 3, 2], [5, 2, 3, 2, 1, 2, 1], [6, 2, 4, 3, 1, 3, 3]]",12.800000000000004,9.599999999999994
